label,vehicles,num_runs,avg_latency_mean,avg_latency_std,avg_latency_ci95,completion_rate_mean,completion_rate_std,completion_rate_ci95,avg_energy_mean,avg_energy_std,avg_energy_ci95,energy_efficiency_mean,energy_efficiency_std,energy_efficiency_ci95,data_loss_rate_mean,data_loss_rate_std,data_loss_rate_ci95
RSUOnly,12,2,0.30074335244727174,0.0,0.0,0.9883590619902997,0.0,0.0,10670.772963244759,0.0,0.0,9.262300541813424e-05,0.0,0.0,,0.0,0.0
SimulatedAnnealing,12,5,0.5840828103534871,0.010955059410795411,0.009602532955714234,0.9882920758195504,0.0009987721778907457,0.0008754624136492941,9746.433628292481,92.77018941322025,81.31665632688878,0.00010140701774455092,8.726151817104829e-07,7.648809308851645e-07,,0.0,0.0
TD3,12,9,0.46720944889365845,0.03130198885448252,0.020450632718261915,0.9817062615505071,0.0048482149929999765,0.003167500462093318,7275.964755357148,459.4763504148359,300.19121560435946,0.00013534077641813702,7.4203507046586325e-06,4.847962460376973e-06,,0.0,0.0
TD3_NoMig,12,5,0.5077331008614393,0.0,0.0,0.9817412215070714,1.2412670766236366e-16,1.0880185641326533e-16,7190.7058073209655,0.0,0.0,0.00013652918751140477,0.0,0.0,,0.0,0.0
TJCTM,12,1,0.44339513838268413,0.0,0.0,0.9910892890835494,0.0,0.0,9718.972607383834,0.0,0.0,0.0001019746972360623,0.0,0.0,,0.0,0.0
RSUOnly,16,1,0.2849048327800624,0.0,0.0,0.9866457761847904,0.0,0.0,12741.5635370722,0.0,0.0,7.743522004297954e-05,0.0,0.0,,0.0,0.0
SimulatedAnnealing,16,3,0.5690729154253438,0.0028145486435350517,0.003184961617304826,0.9871704801211948,1.681432239190197e-05,1.902719697604328e-05,11958.162356123577,47.640175724726674,53.90993382666756,8.255288969799983e-05,3.2675744397565817e-07,3.697608565485582e-07,,0.0,0.0
TD3,16,3,0.42168449731641205,0.009142155147894827,0.010345322441796388,0.9691983667031701,0.00393348899196752,0.00445116181959908,8106.820007087794,310.89743316575544,351.8135647880807,0.00011966473940197354,4.3775170989635e-06,4.953626923918782e-06,,0.0,0.0
RSUOnly,20,1,0.28121612382090955,0.0,0.0,0.9852521496767481,0.0,0.0,14928.2852755283,0.0,0.0,6.599901673180484e-05,0.0,0.0,,0.0,0.0
SimulatedAnnealing,20,3,0.5534244983182507,0.004983667121356981,0.005639550245971204,0.9856679471267383,0.0004834701300954945,0.0005470979551213233,13894.560456087995,85.23299648992173,96.45021519589768,7.094103553707148e-05,4.6763493854576295e-07,5.291787489976658e-07,,0.0,0.0
TD3,20,3,0.40119448056585044,0.0079711778487558,0.009020236886405585,0.9629147141304814,0.0045495543845249335,0.005148305439252693,9055.271040275302,445.73317949560777,504.3945754903324,0.00010649621195756693,4.861649997275079e-06,5.5014748718797206e-06,,0.0,0.0
