algorithm,label,category,vehicles,seed,episodes,avg_latency,avg_latency_std,completion_rate,completion_rate_std,avg_energy,avg_energy_std,energy_efficiency,data_loss_rate,data_loss_rate_std,training_time_hours,source_file
TD3,TD3,drl,12,2025,220,0.45697212713262925,0.0,0.9774576322910725,0.0,7014.761055845288,0.0,0.000139342968992019,,,0.2023171857330534,results\paper_comparison\high_load\20251022_155709\td3\td3_seed_2025.json
TD3,TD3,drl,12,3407,220,0.44879268759572605,0.0,0.9820810527479057,0.0,7126.584080628347,0.0,0.00013780529937441167,,,0.19906453609466554,results\paper_comparison\high_load\20251022_134946\td3\td3_seed_3407.json
TD3,TD3,drl,12,3407,220,0.4572383455297816,0.0,0.9787442579710642,0.0,7021.549426443712,0.0,0.00013939149303500388,,,0.15971315529611377,results\paper_comparison\high_load\20251022_155709\sweeps\vehicle_scaling_high_load\20251022_155709_vehicle_scaling_high_load_0\td3\td3_seed_3407.json
TD3,TD3,drl,12,3407,220,0.4539670961133497,0.0,0.9788734781544982,0.0,7000.031626028779,0.0,0.00013983843651715436,,,0.20627118468284608,results\paper_comparison\high_load\20251022_155709\td3\td3_seed_3407.json
TD3,TD3,drl,16,42,220,0.42651963387270153,0.0,0.9736184732382674,0.0,8383.211586381243,0.0,0.00011613907906367738,,,0.2131611673699485,results\paper_comparison\high_load\20251022_155709\sweeps\vehicle_scaling_high_load\20251022_155709_vehicle_scaling_high_load_1\td3\td3_seed_42.json
TD3,TD3,drl,16,2025,220,0.4273937421657919,0.0,0.9660831453221078,0.0,8167.025288811185,0.0,0.00011829070085599472,,,0.2112507418791453,results\paper_comparison\high_load\20251022_155709\sweeps\vehicle_scaling_high_load\20251022_155709_vehicle_scaling_high_load_1\td3\td3_seed_2025.json
TD3,TD3,drl,16,3407,220,0.41114011591074284,0.0,0.9678934815491349,0.0,7770.223146070953,0.0,0.00012456443828624852,,,0.2112929911745919,results\paper_comparison\high_load\20251022_155709\sweeps\vehicle_scaling_high_load\20251022_155709_vehicle_scaling_high_load_1\td3\td3_seed_3407.json
TD3,TD3,drl,20,42,220,0.40964683767387117,0.0,0.9666638098868013,0.0,9562.277069280324,0.0,0.0001010913826155797,,,0.21504800915718078,results\paper_comparison\high_load\20251022_155709\sweeps\vehicle_scaling_high_load\20251022_155709_vehicle_scaling_high_load_2\td3\td3_seed_42.json
TD3,TD3,drl,20,2025,220,0.40012391935007413,0.0,0.9578532153811582,0.0,8878.493068735841,0.0,0.00010788466105290789,,,0.22502833982308706,results\paper_comparison\high_load\20251022_155709\sweeps\vehicle_scaling_high_load\20251022_155709_vehicle_scaling_high_load_2\td3\td3_seed_2025.json
TD3,TD3,drl,20,3407,220,0.393812684673606,0.0,0.9642271171234845,0.0,8725.042982809739,0.0,0.00011051259220421319,,,0.20694746673107148,results\paper_comparison\high_load\20251022_155709\sweeps\vehicle_scaling_high_load\20251022_155709_vehicle_scaling_high_load_2\td3\td3_seed_3407.json
TD3_NoMig,TD3_NoMig,drl,12,42,220,0.5077331008614393,0.0,0.9817412215070713,0.0,7190.7058073209655,0.0,0.00013652918751140477,,,0.1589250448015001,results\paper_comparison\high_load\20251022_231414\td3-nomig\td3-nomig_seed_42.json
TD3_NoMig,TD3_NoMig,drl,12,42,220,0.5077331008614393,0.0,0.9817412215070713,0.0,7190.7058073209655,0.0,0.00013652918751140477,,,0.1933879491355684,results\paper_comparison\high_load\20251022_232839\sweeps\vehicle_scaling_high_load\20251022_232839_vehicle_scaling_high_load_0\td3-nomig\td3-nomig_seed_42.json
TD3_NoMig,TD3_NoMig,drl,12,42,220,0.5077331008614393,0.0,0.9817412215070713,0.0,7190.7058073209655,0.0,0.00013652918751140477,,,0.1946083739068773,results\paper_comparison\high_load\20251022_232839\td3-nomig\td3-nomig_seed_42.json
TD3_NoMig,TD3_NoMig,drl,12,42,220,0.5077331008614393,0.0,0.9817412215070713,0.0,7190.7058073209655,0.0,0.00013652918751140477,,,0.18633447706699371,results\paper_comparison\high_load\20251022_232857\sweeps\vehicle_scaling_high_load\20251022_232857_vehicle_scaling_high_load_0\td3-nomig\td3-nomig_seed_42.json
TD3_NoMig,TD3_NoMig,drl,12,42,220,0.5077331008614393,0.0,0.9817412215070713,0.0,7190.7058073209655,0.0,0.00013652918751140477,,,0.18690497868590886,results\paper_comparison\high_load\20251022_232857\td3-nomig\td3-nomig_seed_42.json
TJCTM,TJCTM,drl,12,42,220,0.44339513838268413,0.0,0.9910892890835494,0.0,9718.972607383834,0.0,0.0001019746972360623,,,0.06737122363514371,results\paper_comparison\high_load\20251022_155709\cam-td3\cam-td3_seed_42.json
